Label,Pairwise Deletion Sample Size for Observed Data,r Correlation,95% CI Lower Bound for r Correlation,95% CI Upper Bound for r Correlation,95% CI Width for r Correlation,d Correlation,d Correlation Minus |r| Correlation
BIS-11 Attentional with BIS-11 Motor,522,.5088,.4347,.5781,.1434,.4651,-.0437
BIS-11 Attentional with BIS-11 Nonplanning,522,.5108,.4444,.5729,.1285,.4778,-.0330
BIS-11 Attentional with BIS/BAS Drive,522,-.1404,-.2294,-.0509,.1785,.1415,.0011
BIS-11 Attentional with BIS/BAS Fun-Seeking,522,.2134,.1205,.3007,.1802,.1904,-.0230
BIS-11 Attentional with BIS/BAS Reward Responsiveness,522,-.0174,-.1127,.0744,.1871,.0854,.0680
BIS-11 Attentional with BIS/BAS BIS,522,.3356,.2552,.4092,.1540,.3152,-.0204
BIS-11 Attentional with Brief Self-Control Scale,522,-.6008,-.6611,-.5346,.1265,.5710,-.0298
BIS-11 Attentional with Dickman's Dysfunctional Impulsivity,522,.3558,.2729,.4373,.1644,.3520,-.0038
BIS-11 Attentional with Dickman's Functional Impulsivity,522,-.1280,-.2104,-.0436,.1667,.1452,.0172
BIS-11 Attentional with DOSPERT Expected Benefits Ethical,522,.1500,.0640,.2378,.1738,.1768,.0268
BIS-11 Attentional with DOSPERT Expected Benefits Financial,522,.0892,.0014,.1775,.1761,.0957,.0065
BIS-11 Attentional with DOSPERT Expected Benefits Health/Safety,522,.1426,.0530,.2323,.1794,.1986,.0560
BIS-11 Attentional with DOSPERT Expected Benefits Recreational,522,.1552,.0643,.2429,.1786,.1596,.0044
BIS-11 Attentional with DOSPERT Expected Benefits Social,522,.0543,-.0326,.1403,.1729,.0838,.0295
BIS-11 Attentional with DOSPERT Risk Perception Ethical,522,-.1165,-.2043,-.0303,.1740,.1277,.0113
BIS-11 Attentional with DOSPERT Risk Perception Financial,522,-.1004,-.1911,-.0089,.1822,.1155,.0151
BIS-11 Attentional with DOSPERT Risk Perception Health/Safety,522,-.1090,-.2010,-.0181,.1829,.1169,.0080
BIS-11 Attentional with DOSPERT Risk Perception Recreational,522,-.0804,-.1686,.0068,.1754,.0978,.0174
BIS-11 Attentional with DOSPERT Risk Perception Social,522,.0540,-.0318,.1402,.1721,.0976,.0436
BIS-11 Attentional with DOSPERT Risk-Taking Ethical,522,.2191,.1318,.3043,.1725,.2458,.0267
BIS-11 Attentional with DOSPERT Risk-Taking Financial,522,.0270,-.0617,.1186,.1803,.0568,.0298
BIS-11 Attentional with DOSPERT Risk-Taking Health/Safety,522,.2499,.1559,.3424,.1865,.2653,.0154
BIS-11 Attentional with DOSPERT Risk-Taking Recreational,522,.1101,.0169,.2026,.1857,.1138,.0038
BIS-11 Attentional with DOSPERT Risk-Taking Social,522,.0169,-.0734,.1008,.1742,.0930,.0761
BIS-11 Attentional with Three-Factor Eating Questionnaire Cognitive Restraint,522,-.0369,-.1281,.0507,.1788,.0706,.0336
BIS-11 Attentional with Three-Factor Eating Questionnaire Emotional Eating,522,.2908,.2067,.3732,.1665,.3097,.0190
BIS-11 Attentional with Three-Factor Eating Questionnaire Uncontrolled Eating,522,.3312,.2538,.4056,.1518,.3461,.0149
BIS-11 Attentional with Emotion Regulation Questionnaire Reappraisal,522,-.2373,-.3273,-.1442,.1831,.2159,-.0214
BIS-11 Attentional with Emotion Regulation Questionnaire Suppression,522,.0990,.0122,.1846,.1725,.1159,.0169
BIS-11 Attentional with FFMQ Acting with Awareness,522,-.6749,-.7243,-.6217,.1026,.6439,-.0311
BIS-11 Attentional with FFMQ Describing,522,-.3911,-.4633,-.3148,.1485,.3786,-.0125
BIS-11 Attentional with FFMQ Non-Judging of Experience,522,-.4494,-.5232,-.3709,.1523,.4123,-.0371
BIS-11 Attentional with FFMQ Non-Reactivity to Experience,522,-.3314,-.4132,-.2462,.1670,.3008,-.0306
BIS-11 Attentional with FFMQ Observing,522,-.0559,-.1497,.0360,.1857,.0843,.0285
BIS-11 Attentional with Carstensen Future Time Perspective,522,-.1513,-.2406,-.0632,.1773,.1793,.0280
BIS-11 Attentional with Grit Scale,522,-.6208,-.6734,-.5640,.1094,.5817,-.0391
BIS-11 Attentional with Eysenck I-7 Impulsiveness,522,.4306,.3502,.5065,.1563,.4127,-.0179
BIS-11 Attentional with Eysenck I-7 Venturesomeness,522,.1053,.0122,.1955,.1833,.1008,-.0045
BIS-11 Attentional with Stanford Leisure Time Activities,522,-.0491,-.1356,.0393,.1749,.0678,.0187
BIS-11 Attentional with Mindful Attention and Awareness Scale,522,-.6058,-.6631,-.5427,.1204,.5779,-.0279
BIS-11 Attentional with Multidimensional Personality Questionnaire Control,522,-.4567,-.5279,-.3798,.1481,.4282,-.0285
